"consulta","posicion","paper_id","title","authors","publication_date","topic_label","doi","enlace_doi","puntaje","fragmento","citations","estrategia"
"social media sentiment analysis",1,221,"EmoBERTa-X: Advanced Emotion Classifier with Multi-Head Attention and DES for Multilabel Emotion Classification","Farah Hassan Labib; Mazen Elagamy; Sherine Nagy Saleh",2025-02-19,"Machine Learning","10.3390/bdcc9020048","https://doi.org/10.3390/bdcc9020048",0.235488,"The rising prevalence of social media turns them into huge, rich repositories of human emotions. Understanding and categorizing human emotion from social media content is of fundamental importance for many reasons, such as improvement of user experience, monitoring of public senti...",18,"TF-IDF + similitud coseno"
"social media sentiment analysis",2,497,"A Hybrid NER–Sentiment Model for Uzbek Texts: Integrating Lexical, Deep Learning, and Entity-Based Approaches","Bobur Saidov; Vladimir Barakhnin; Rakhmon Saparbaev; Zayniddin Narmuratov; Rustamova Manzura; Ruzmetova Zilolakhon; Anorgul Atajanova",2026-03-19,"Machine Learning","10.3390/bdcc10030092","https://doi.org/10.3390/bdcc10030092",0.200113,"...xtraction to capture affective signals that are often expressed non-verbally in social media texts. Next, we construct three complementary feature streams: a context encoder for sentence-level semantics, NER-driven entity features that encode entity mentions and types, and an emot...",0,"TF-IDF + similitud coseno"
"social media sentiment analysis",3,327,"Large Language Model-Based Topic-Level Sentiment Analysis for E-Grocery Consumer Reviews","Julizar Isya Pandu Wangsa; Yudhistira Jinawi Agung; Safira Raissa Rahmi; Hendri Murfi; Nora Hariadi; Siti Nurrohmah; Yudi Satria; Choiru Za’in",2025-07-23,"IA Generativa","10.3390/bdcc9080194","https://doi.org/10.3390/bdcc9080194",0.190449,"Customer sentiment analysis plays a pivotal role in the digital economy by offering comprehensive insights that inform strategic business decisions, optimize digital marketing initiatives, and improve overall customer satisfaction. We propose a large language model-based topic-lev...",1,"TF-IDF + similitud coseno"
"social media sentiment analysis",4,237,"Explainable Deep Learning for COVID-19 Vaccine Sentiment in Arabic Tweets Using Multi-Self-Attention BiLSTM with XLNet","Asmaa Hashem Sweidan; Nashwa El-Bendary; Shereen A. Taie; Amira M. Idrees; Esraa Elhariri",2025-02-10,"Machine Learning","10.3390/bdcc9020037","https://doi.org/10.3390/bdcc9020037",0.182028,"...ated a vast corpus of online conversations regarding vaccines, predominantly on social media platforms like X (formerly known as Twitter). However, analyzing sentiment in Arabic text is challenging due to the diverse dialects and lack of readily available sentiment analysis resour...",6,"TF-IDF + similitud coseno"
"social media sentiment analysis",5,216,"An Attention-Based BERT–CNN–BiLSTM Model for Depression Detection from Emojis in Social Media Text","Joel Philip Thekkekara; Sira Yongchareon",2025-12-03,"Otros","10.3390/bdcc9120310","https://doi.org/10.3390/bdcc9120310",0.179914,"Depression represents a critical global mental health challenge, with social media offering unprecedented opportunities for early detection through computational analysis. We propose a novel BERT–CNN–BiLSTM architecture with attention mechanisms that systematically integrate emoji...",0,"TF-IDF + similitud coseno"
"cybersecurity intrusion detection",1,337,"A Novel Hybrid IGL1 Feature Selection Method for High-Performance Intrusion Detection on the UNSW-NB15 Dataset Using Multiple Machine Learning Models","Andri Saputra; Kalamullah Ramli; Anto Satriyo Nugroho; I Gde Dharma Nugraha; Bernardi Pranggono",2026-06-01,"Machine Learning","10.3390/bdcc10060182","https://doi.org/10.3390/bdcc10060182",0.239519,"Intrusion Detection Systems (IDSs) remain essential for securing modern network infrastructures, where traffic data are often high-dimensional and contain redundant or weakly informative attributes. This study proposes a hybrid feature selection approach that combines Information ...",0,"TF-IDF + similitud coseno"
"cybersecurity intrusion detection",2,394,"FedX: Privacy-Preserving Explainable Federated Ensemble Intrusion Detection System for Edge-Enabled Internet of Vehicles","Nithya Nedungadi; Sriram Sankaran; Krishnashree Achuthan",2026-05-16,"Otros","10.3390/bdcc10050160","https://doi.org/10.3390/bdcc10050160",0.228306,"... has expanded intelligent connectivity across embedded systems while increasing cybersecurity risks arising from large scale data exchange and device heterogeneity. As IoV environments become more dynamic and safety critical, centralized Intrusion Detection Systems (IDSs) face con...",0,"TF-IDF + similitud coseno"
"cybersecurity intrusion detection",3,493,"Enhancing the Artificial Rabbit Optimizer Using Fuzzy Rule Interpolation","Mohammad Almseidin",2026-02-10,"Machine Learning","10.3390/bdcc10020057","https://doi.org/10.3390/bdcc10020057",0.215126,"...r effectiveness in solving complex optimization tasks, such as those related to Intrusion Detection Systems (IDSs). It was widely used to enhance the detection rate of various types of cyber attacks by reducing the feature space or tuning the model’s hyperparameters. The Artificia...",0,"TF-IDF + similitud coseno"
"cybersecurity intrusion detection",4,280,"Labeling Network Intrusion Detection System (NIDS) Rules with MITRE ATT and CK Techniques: Machine Learning vs. Large Language Models","Nir Daniel; Florian Klaus Kaiser; Shay Giladi; Sapir Sharabi; Raz Moyal; Shalev Shpolyansky; Andres Murillo; Aviad Elyashar; Rami Puzis",2025-01-26,"IA Generativa","10.3390/bdcc9020023","https://doi.org/10.3390/bdcc9020023",0.187291,"...s) are often occupied with time-consuming investigations of alerts from Network Intrusion Detection Systems (NIDSs). Many NIDS rules lack clear explanations and associations with attack techniques, complicating the alert triage and the generation of attack hypotheses. Large Langua...",18,"TF-IDF + similitud coseno"
"cybersecurity intrusion detection",5,319,"Neural Network IDS/IPS Intrusion Detection and Prevention System with Adaptive Online Training to Improve Corporate Network Cybersecurity, Evidence Recording, and Interaction with Law Enforcement Agencies","Serhii Vladov; Victoria Vysotska; Svitlana Vashchenko; Serhii Bolvinov; Serhii Glubochenko; Andrii Repchonok; Maksym Korniienko; Mariia Nazarkevych; Ruslan Herasymchuk",2025-10-22,"Machine Learning","10.3390/bdcc9110267","https://doi.org/10.3390/bdcc9110267",0.185726,"Thise article examines the reliable online detection and IDS/IPS intrusion prevention in dynamic corporate networks problems, where traditional signature-based methods fail to keep pace with new and evolving attacks, and streaming data is susceptible to drift and targeted “poisoni...",1,"TF-IDF + similitud coseno"
"statistical methods for prediction",1,131,"Adversarial Perturbations for Defeating Cryptographic Algorithm Identification","Shuijun Yin; Di Wu; Haolan Zhang; Heng Li; Zhiyuan Yao; Wei Yuan",2025-12-30,"Machine Learning","10.3390/bdcc10010013","https://doi.org/10.3390/bdcc10010013",0.127219,"...ers. CPSM constructs lightweight, reversible bit-level perturbations that alter statistical ciphertext features without affecting legitimate decryption. The method leverages class prototypes to capture representative bit-distribution patterns for each cryptographic algorithm and i...",0,"TF-IDF + similitud coseno"
"statistical methods for prediction",2,345,"An Intelligent Evaluation Method for Slope Stability Based on a Database Integrating Real Cases and Numerical Simulations","Junyi Jiang; Dong Li; Qingyi Yang; Zhenhua Zhang; Lei Wang; Wenru Zhao; Mingliang Chen",2026-03-12,"Machine Learning","10.3390/bdcc10030087","https://doi.org/10.3390/bdcc10030087",0.111412,"...literature mining, we established a database of 684 engineering cases. Based on statistical analysis of input parameters, a numerical simulation scheme was designed. Batch calculations were performed using MATLAB to determine simulation results. The engineering case database was t...",0,"TF-IDF + similitud coseno"
"statistical methods for prediction",3,120,"High-Speed Scientific Computing Using Adaptive Spline Interpolation","Daniel S. Soper",2025-12-02,"Estadística","10.3390/bdcc9120308","https://doi.org/10.3390/bdcc9120308",0.099882,"...s created a significant computational bottleneck for traditional scientific and statistical algorithms. To address this problem, the current paper describes and validates a high-performance method based on adaptive spline interpolation that can dramatically accelerate the calculat...",0,"TF-IDF + similitud coseno"
"statistical methods for prediction",4,330,"Pyramidal Predictive Network V2: An Improved Predictive Architecture and Training Strategies for Future Perception Prediction","Chaofan Ling; Junpei Zhong; Weihua Li; Ran Dong; Mingjun Dai",2025-03-28,"Machine Learning","10.3390/bdcc9040079","https://doi.org/10.3390/bdcc9040079",0.095089,"...ies to mitigate these issues. The improved architecture focuses on optimizing information dissemination and reducing aliasing in neural networks. We redesign the downsampling and upsampling components to enable the network to construct images more effectively from low-frequency-in...",0,"TF-IDF + similitud coseno"
"statistical methods for prediction",5,205,"Adaptive Segmentation and Statistical Analysis for Multivariate Big Data Forecasting","Desmond Fomo; Aki-Hiro Sato",2025-10-24,"Estadística","10.3390/bdcc9110268","https://doi.org/10.3390/bdcc9110268",0.092548,"...unced data variability. However, existing approaches often neglect multivariate statistical complexity (e.g., covariance, skewness, kurtosis) of multivariate time series or rely on recency-only windowing that discards informative historical fluctuation patterns, limiting robustnes...",0,"TF-IDF + similitud coseno"
