"componente","valor_singular","energia","proporcion_individual","proporcion_acumulada","porcentaje_acumulado"
119,3.98986048942176,15.9189867250488,0.00235959350220737,0.387878112619372,38.7878112619372
120,3.98366110896135,15.8695558310511,0.00235226660268168,0.390230379222054,39.0230379222054
121,3.97691557901272,15.8158575225941,0.0023443071651934,0.392574686387247,39.2574686387247
122,3.97380446974071,15.7911219637313,0.00234064073434738,0.394915327121594,39.4915327121594
123,3.96853981806148,15.7493082875394,0.00233444289774197,0.397249770019336,39.7249770019336
124,3.96606097123406,15.7296396275461,0.00233152750852033,0.399581297527857,39.9581297527857
125,3.96212361051024,15.6984235049627,0.00232690049542685,0.401908198023284,40.1908198023284
126,3.95449440124557,15.6380259694825,0.0023179480642998,0.404226146087583,40.4226146087583
127,3.95292780971478,15.6256382688165,0.00231611189604966,0.406542257983633,40.6542257983633
128,3.94496162356361,15.5627222113896,0.00230678615673892,0.408849044140372,40.8849044140372
129,3.93554649377763,15.4885262046854,0.00229578844574558,0.411144832586118,41.1144832586118
130,3.93058142683818,15.4494703530052,0.00228999938797203,0.41343483197409,41.343483197409
131,3.92963073571897,15.4419977191072,0.00228889175601689,0.415723723730107,41.5723723730107
132,3.92480754949553,15.4041143005771,0.00228327648227183,0.418007000212378,41.8007000212378
133,3.91994327927889,15.3659553127637,0.00227762036224042,0.420284620574619,42.0284620574619
134,3.91093633714457,15.2954230331978,0.00226716570759222,0.422551786282211,42.2551786282211
135,3.90565653751745,15.2541529890528,0.00226104845090483,0.424812834733116,42.4812834733116
136,3.90370676235915,15.2389264864886,0.00225879150094109,0.427071626234057,42.7071626234057
137,3.90200750962147,15.2256626051424,0.00225682546071635,0.429328451694773,42.9328451694773
138,3.89530897509037,15.1734320114196,0.00224908357540083,0.431577535270174,43.1577535270174
139,3.88839521822438,15.1196173731102,0.00224110689490779,0.433818642165082,43.3818642165082
140,3.88490012933699,15.0924490149226,0.00223707986212283,0.436055722027205,43.6055722027205
141,3.88454545479887,15.0896933903985,0.00223667140938437,0.438292393436589,43.8292393436589
142,3.87994971673983,15.0540098044295,0.00223138220605489,0.440523775642644,44.0523775642644
143,3.87729224600976,15.0333951609674,0.00222832659833289,0.442752102240977,44.2752102240977
144,3.87258367092118,14.9969042882853,0.00222291773484443,0.444975019975821,44.4975019975821
145,3.86628399691818,14.9481519448256,0.00221569141354447,0.447190711389366,44.7190711389366
146,3.86171043323291,14.9128074701399,0.00221045247502107,0.449401163864387,44.9401163864387
147,3.85395526882949,14.8529712141386,0.00220158323960453,0.451602747103991,45.1602747103991
148,3.85158813647229,14.8347311730141,0.00219887960756685,0.453801626711558,45.3801626711558
149,3.84547771276741,14.7876988393909,0.00219190823490804,0.455993534946466,45.5993534946466
150,3.84376682035079,14.7745433692296,0.00218995826394272,0.458183493210409,45.8183493210409
151,3.84288753351411,14.7677845952382,0.00218895644394825,0.460372449654357,46.0372449654357
152,3.83676938211724,14.7207992915523,0.0021819920423069,0.462554441696664,46.2554441696664
153,3.83231944131225,14.6866723002598,0.00217693356538909,0.464731375262053,46.4731375262053
154,3.82764902315439,14.6508970444548,0.00217163077428841,0.466903006036342,46.6903006036342
155,3.8211913986392,14.6015037050342,0.00216430944129391,0.469067315477636,46.9067315477636
156,3.8185831338626,14.5815771502199,0.00216135582558499,0.47122867130322,47.122867130322
157,3.81649058333931,14.5656003727176,0.00215898766603867,0.473387658969259,47.3387658969259
