CID,numero_registros,beneficiarios_unicos,porcentaje_beneficiarios
B971,20,1,0.001
B977,16,1,0.001
B99,18,1,0.001
S52.7,58,1,0.001
S521,17,1,0.001
S608,1,1,0.001
S609,19,1,0.001
S61.8,159,1,0.001
S611,3,1,0.001
C15.9,51,1,0.001
I309,35,1,0.001
I313,73,1,0.001
I34,4,1,0.001
I340,84,1,0.001
I341,228,1,0.001
I358,1770,1,0.001
I40,18,1,0.001
I40.9,15,1,0.001
I409,10,1,0.001
I42.2,129,1,0.001
I42.9,48,1,0.001
S63,93,1,0.001
S630,1,1,0.001
I258,19,1,0.001
I26.0,31,1,0.001
G808,109,1,0.001
G81.1,26,1,0.001
G579,8,1,0.001
G580,8,1,0.001
G589,37,1,0.001
G608,10,1,0.001
G61,2,1,0.001
G61.9,63,1,0.001
S633,59,1,0.001
S64,8,1,0.001
S664,11,1,0.001
S60.2,35,1,0.001
B279,13,1,0.001
B340,54,1,0.001
B373,1,1,0.001
B374,84,1,0.001
S76.1,52,1,0.001
S761,15,1,0.001
S763,78,1,0.001
S80,1,1,0.001
S80.,57,1,0.001
S669,81,1,0.001
S67.0,63,1,0.001
S68,10,1,0.001
S697,136,1,0.001
S698,1,1,0.001
S70.1,15,1,0.001
S71,1,1,0.001
S722,65,1,0.001
C02,12,1,0.001
C02.,1,1,0.001
C02.4,60,1,0.001
C021,6,1,0.001
G618,16,1,0.001
I270,42,1,0.001
I30.0,62,1,0.001
I21.4,358,1,0.001
I210,193,1,0.001
I212,469,1,0.001
I213,300,1,0.001
I228,48,1,0.001
I24.9,135,1,0.001
I248,4,1,0.001
B278,28,1,0.001
I25,3,1,0.001
I129,13,1,0.001
I130,6,1,0.001
I15,68,1,0.001
I15.0,43,1,0.001
I15.9,37,1,0.001
I158,214,1,0.001
I21.,243,1,0.001
H90.,32,1,0.001
H90.4,60,1,0.001
H90.5,26,1,0.001
H91.9,4,1,0.001
H93.2,26,1,0.001
S82.0,79,1,0.001
S82.7,93,1,0.001
S72.8,169,1,0.001
B081,51,1,0.001
B09,1,1,0.001
B15.,15,1,0.001
B17,6,1,0.001
B17.8,71,1,0.001
B189,38,1,0.001
B19,77,1,0.001
B19.9,71,1,0.001
S90.8,7,1,0.001
S901,14,1,0.001
S824,57,1,0.001
S83,1,1,0.001
S83.0,5,1,0.001
S83.4,8,1,0.001
S83.6,75,1,0.001
S801,1,1,0.001
S92.2,131,1,0.001
S921,24,1,0.001
S923,9,1,0.001
S924,1,1,0.001
S925,1,1,0.001
S929,63,1,0.001
S93.0,38,1,0.001
S930,8,1,0.001
S833,11,1,0.001
S86,38,1,0.001
S90,1,1,0.001
B432,4,1,0.001
B45,2,1,0.001
B59,61,1,0.001
B829,2,1,0.001
B86,1,1,0.001
S91,1,1,0.001
S91.0,37,1,0.001
S911,1,1,0.001
H950,7,1,0.001
I050,51,1,0.001
I052,186,1,0.001
I059,286,1,0.001
I060,453,1,0.001
I110,87,1,0.001
I120,56,1,0.001
H71.,55,1,0.001
H720,5,1,0.001
H728,8,1,0.001
H739,53,1,0.001
H748,5,1,0.001
H80.0,68,1,0.001
T159,1,1,0.001
T16,9,1,0.001
T179,32,1,0.001
T18.0,14,1,0.001
T18.5,32,1,0.001
T180,44,1,0.001
T188,14,1,0.001
S960,151,1,0.001
S981,5,1,0.001
T002,1,1,0.001
T029,43,1,0.001
T065,35,1,0.001
T07.,113,1,0.001
T10,60,1,0.001
T11,8,1,0.001
T119,1,1,0.001
T193,1,1,0.001
T200,7,1,0.001
T202,100,1,0.001
T213,552,1,0.001
T222,1,1,0.001
T242,9,1,0.001
T25.2,54,1,0.001
T260,188,1,0.001
T293,161,1,0.001
T402,2,1,0.001
T131,16,1,0.001
T14.2,753,1,0.001
T14.9,42,1,0.001
T142,58,1,0.001
T144,15,1,0.001
T148,56,1,0.001
T82.7,23,1,0.001
T42.4,116,1,0.001
T432,3,1,0.001
T444,2,1,0.001
T50.9,151,1,0.001
T510,30,1,0.001
T512,2,1,0.001
T60.,3,1,0.001
T65,4,1,0.001
T658,40,1,0.001
T671,5,1,0.001
T754,15,1,0.001
T78.2,42,1,0.001
T78.4,40,1,0.001
T782,5,1,0.001
T19.3,25,1,0.001
T819,74,1,0.001
T82,19,1,0.001
T82.0,589,1,0.001
H81.3,18,1,0.001
H81.4,40,1,0.001
G911,59,1,0.001
G919,3,1,0.001
G71.0,4,1,0.001
G713,1,1,0.001
G80.2,16,1,0.001
G80.9,28,1,0.001
H81.8,355,1,0.001
H813,32,1,0.001
H653,43,1,0.001
H66,78,1,0.001
T82.4,71,1,0.001
T821,81,1,0.001
T824,55,1,0.001
T825,4,1,0.001
T827,22,1,0.001
T83,23,1,0.001
T83.3,5,1,0.001
T83.5,38,1,0.001
T830,5,1,0.001
T84.1,143,1,0.001
T84.2,75,1,0.001
T841,7,1,0.001
T81.,33,1,0.001
T81.0,228,1,0.001
T81.1,223,1,0.001
T81.3,18,1,0.001
T81.9,67,1,0.001
U072,1,1,0.001
V132,6,1,0.001
T845,90,1,0.001
T849,11,1,0.001
T85.4,52,1,0.001
T85.7,107,1,0.001
T85.9,31,1,0.001
T854,46,1,0.001
T856,54,1,0.001
T861,36,1,0.001
T862,9,1,0.001
T87.2,29,1,0.001
T87.4,66,1,0.001
T871,325,1,0.001
T88.9,16,1,0.001
T884,4,1,0.001
T926,5,1,0.001
T93,51,1,0.001
H66.,10,1,0.001
H66.0,108,1,0.001
H66.2,10,1,0.001
H663,7,1,0.001
H671,1,1,0.001
H68.0,43,1,0.001
H709,81,1,0.001
H571,33,1,0.001
H578,18,1,0.001
H59,42,1,0.001
H60,7,1,0.001
H602,1,1,0.001
T938,54,1,0.001
U07.1,11,1,0.001
X65.8,46,1,0.001
V294,1,1,0.001
V296,1,1,0.001
V50,6,1,0.001
W01.,399,1,0.001
W074,5,1,0.001
W111,1,1,0.001
W13,1,1,0.001
W18.9,37,1,0.001
W189,9,1,0.001
W19,1,1,0.001
W576,16,1,0.001
T887,7,1,0.001
T888,19,1,0.001
T900,40,1,0.001
T902,59,1,0.001
X60.,243,1,0.001
X61.0,31,1,0.001
H61.8,49,1,0.001
H65.1,15,1,0.001
H65.3,5,1,0.001
H65.9,101,1,0.001
H501,31,1,0.001
H506,56,1,0.001
H508,32,1,0.001
H509,41,1,0.001
H52,3,1,0.001
G99.2,252,1,0.001
X619,5,1,0.001
X63,111,1,0.001
X64,4,1,0.001
X64.0,27,1,0.001
B01,1,1,0.001
B012,119,1,0.001
B019,46,1,0.001
B02.2,29,1,0.001
B02.3,5,1,0.001
B02.7,112,1,0.001
B02.8,90,1,0.001
Y348,26,1,0.001
Y349,109,1,0.001
Y43,248,1,0.001
Y578,155,1,0.001
W780,106,1,0.001
W859,186,1,0.001
X220,91,1,0.001
X23,1,1,0.001
X29,1,1,0.001
Y849,41,1,0.001
Z01,5,1,0.001
X78.0,40,1,0.001
X82,90,1,0.001
X84,101,1,0.001
X84.0,31,1,0.001
X84.9,38,1,0.001
X999,37,1,0.001
Y119,2,1,0.001
Y199,2,1,0.001
Y20.9,19,1,0.001
Y28,1,1,0.001
B258,435,1,0.001
B26,1,1,0.001
B269,7,1,0.001
B27.8,47,1,0.001
A770,85,1,0.001
A86,6,1,0.001
A86.,584,1,0.001
A87.9,48,1,0.001
A90.,10,1,0.001
A92,1,1,0.001
A928,1,1,0.001
Z04.5,67,1,0.001
Z04.8,36,1,0.001
Z048,12,1,0.001
Y73.0,66,1,0.001
Y83.9,61,1,0.001
Y839,59,1,0.001
Y84.5,46,1,0.001
Y840,73,1,0.001
Y845,3,1,0.001
Z011,41,1,0.001
Z02,1,1,0.001
Z031,72,1,0.001
B027,14,1,0.001
B028,7,1,0.001
B04,14,1,0.001
H00,6,1,0.001
H000,1,1,0.001
H001,2,1,0.001
G819,15,1,0.001
G820,90,1,0.001
G832,59,1,0.001
G834,16,1,0.001
G91.0,427,1,0.001
G910,10,1,0.001
H53.2,26,1,0.001
A49,28,1,0.001
Z340,4,1,0.001
Z35.9,13,1,0.001
Z088,3,1,0.001
Z125,38,1,0.001
H544,42,1,0.001
H546,17,1,0.001
H40.0,1,1,0.001
H40.1,2,1,0.001
H401,46,1,0.001
H46,21,1,0.001
H46.,2,1,0.001
H490,48,1,0.001
H26.8,27,1,0.001
Z291,6,1,0.001
Z01.1,26,1,0.001
Z34.9,10,1,0.001
A94,1,1,0.001
A98.4,34,1,0.001
B00,1,1,0.001
H30.2,35,1,0.001
H302,5,1,0.001
H35.,1,1,0.001
H35.0,75,1,0.001
H105,2,1,0.001
H11.0,8,1,0.001
H11.9,40,1,0.001
H16,1,1,0.001
H181,39,1,0.001
B002,42,1,0.001
A415,29,1,0.001
A460,36,1,0.001
Z411,69,1,0.001
Z42.4,120,1,0.001
Z42.9,68,1,0.001
Z422,8,1,0.001
Z428,38,1,0.001
Z43.2,720,1,0.001
Z440,50,1,0.001
Z354,3,1,0.001
Z36.,1,1,0.001
Z36.3,1,1,0.001
Z383,6,1,0.001
Z308,55,1,0.001
Z309,6,1,0.001
Z31.9,1,1,0.001
Z321,1,1,0.001
Z34,1,1,0.001
Z48.9,197,1,0.001
Z400,160,1,0.001
H188,25,1,0.001
H04.3,54,1,0.001
H050,63,1,0.001
H062,15,1,0.001
H100,1,1,0.001
G931,93,1,0.001
G936,38,1,0.001
G938,1096,1,0.001
G96,23,1,0.001
G96.0,290,1,0.001
G97.1,46,1,0.001
G978,963,1,0.001
Z41,66,1,0.001
Z41.1,59,1,0.001
A080,76,1,0.001
Z992,37,1,0.001
A029,6,1,0.001
A048,5,1,0.001
A182,40,1,0.001
A188,12,1,0.001
A260,10,1,0.001
A521,37,1,0.001
A67.3,12,1,0.001
A68,51,1,0.001
Z72.4,46,1,0.001
Z74.2,51,1,0.001
Z762,49,1,0.001
Z93.0,16,1,0.001
Z931,95,1,0.001
Z549,2,1,0.001
A303,6,1,0.001
Z98.0,55,1,0.001
Z99.2,184,1,0.001
Z492,132,1,0.001
Z502,50,1,0.001
Z51.1,41,1,0.001
Z54.,25,1,0.001
Z54.2,35,1,0.001
Z548,5,1,0.001
A509,167,1,0.001
Z96.6,39,1,0.001
Z975,5,1,0.001
Z94.7,5,1,0.001
Z941,80,1,0.001
Z946,43,1,0.001
A081,22,1,0.001
